date,week,sunrise_hour,sunrise_min,sunrise_sec,sunset_hour,sunset_min,sunset_sec,season,is_holiday,is_weekend,snow,snowdepth,temp,precip,precipprob,preciptype,windgust,winddir,solarradiation,moonphase,conditions,Offense Count
2014-03-18,Tuesday,7,27,35,19,31,46,Spring,0,0,0.0,0.0,62.2,0.0,0,none,26.2,160.4,,0.57,clear,311
2016-01-30,Saturday,7,12,44,17,57,2,Winter,0,1,0.0,0.0,64.1,0.0,0,none,25.4,172.6,177.0,0.71,clear,353
2021-03-27,Saturday,7,16,26,19,37,24,Spring,0,1,0.0,0.0,74.4,0.0,0,none,35.0,161.4,61.0,0.46,cloudy,718
2014-02-26,Wednesday,6,50,20,18,18,44,Winter,0,0,0.0,0.0,46.4,0.269,100,rain,32.6,353.6,,0.91,rain,303
2012-08-23,Thursday,6,53,57,19,53,25,Summer,0,0,0.0,0.0,81.3,0.057,100,rain,24.2,109.5,267.9,0.22,rain,330
2021-12-21,Tuesday,7,12,56,17,26,44,Winter,0,0,0.0,0.0,50.6,0.0,0,none,13.9,347.2,92.1,0.59,clear,609
2011-06-13,Monday,6,20,27,20,22,41,Summer,0,0,0.0,0.0,84.8,0.0,0,none,22.8,169.1,339.7,0.42,clear,352
2010-06-26,Saturday,6,22,52,20,25,48,Summer,0,1,0.0,0.0,85.5,0.0,0,none,24.2,143.8,178.3,0.5,cloudy,415
2019-05-27,Monday,6,22,55,20,14,38,Spring,1,0,0.0,0.0,82.1,0.0,0,none,22.7,157.2,266.7,0.78,cloudy,580
2016-11-10,Thursday,6,42,30,17,28,3,Autumn,0,0,0.0,0.0,64.9,0.0,0,none,17.2,26.6,79.8,0.37,clear,372
2021-09-05,Sunday,7,0,57,19,38,41,Autumn,0,1,0.0,0.0,85.5,0.0,0,none,16.1,227.5,192.6,0.96,cloudy,739
2011-07-27,Wednesday,6,37,50,20,17,49,Summer,0,0,0.0,0.0,87.8,0.178,100,rain,23.6,184.3,209.6,0.9,rain,393
2019-08-31,Saturday,6,57,59,19,45,12,Summer,0,1,0.0,0.0,85.0,0.0,0,none,16.1,54.0,226.5,0.04,clear,640
2019-06-22,Saturday,6,21,46,20,25,13,Summer,0,1,0.0,0.0,86.4,0.038,100,rain,25.7,163.9,195.1,0.67,rain,636
2016-08-20,Saturday,6,52,19,19,56,38,Summer,0,1,0.0,0.0,82.6,0.545,100,rain,33.3,146.8,201.7,0.58,rain,389
2018-09-03,Monday,6,59,42,19,41,23,Autumn,1,0,0.0,0.0,77.1,0.508,100,rain,0.0,76.7,17.7,0.79,rain,632
2018-03-09,Friday,6,38,8,18,26,8,Spring,0,0,0.0,0.0,63.5,0.0,0,none,23.9,138.4,28.3,0.75,cloudy,327
2016-01-18,Monday,7,17,13,17,46,38,Winter,1,0,0.0,0.0,51.6,0.0,0,none,0.0,107.0,182.9,0.31,clear,345
2016-12-01,Thursday,6,59,44,17,21,40,Winter,0,0,0.0,0.0,56.8,0.0,0,none,16.8,84.9,170.9,0.08,cloudy,391
2017-06-08,Thursday,6,20,28,20,20,55,Summer,0,0,0.0,0.0,80.9,0.0,0,none,16.1,40.7,333.4,0.47,clear,389
2011-01-19,Wednesday,7,16,57,17,47,41,Winter,0,0,0.0,0.0,52.5,0.0,0,none,19.5,99.2,184.4,0.5,cloudy,375
2012-05-02,Wednesday,6,37,39,19,59,32,Spring,0,0,0.0,0.0,79.9,0.0,0,none,21.9,169.9,316.1,0.38,cloudy,347
2015-02-24,Tuesday,6,52,39,18,17,8,Winter,0,0,0.0,0.0,37.4,0.0,0,none,0.0,348.2,158.1,0.2,cloudy,272
2011-01-06,Thursday,7,17,49,17,36,56,Winter,0,0,0.0,0.0,56.2,0.0,0,none,0.0,326.0,170.4,0.08,clear,332
2016-05-31,Tuesday,6,21,33,20,17,13,Spring,0,0,0.0,0.0,80.1,0.0,0,none,19.7,93.6,228.6,0.84,cloudy,337
